loan_id,account_id,status,loan_date,loan_amount,duration,payments,owner_district_id,client_age,client_gender,account_district_id,frequency,account_date,birthdate,transaction_date_max,transaction_date_min,operation_count,amount_mean,amount_min,amount_max,amount_std,amount_last,amount_abs_min,amount_rangev,balance_mean,balance_min,balance_max,balance_std,balance_last,balance_abs_min,balance_rangev,type_count_in,type_count_out,type_mean_in,type_mean_out,disp_id_count,card_type_count_gold,card_type_count_classic,card_type_count_junior,account_region,account_no. of inhabitants,account_average salary,account_unemploymant rate '95,account_unemploymant rate '96,account_no. of enterpreneurs per 1000 inhabitants,account_no. of commited crimes '95,account_no. of commited crimes '96
7121,10364,no,1993-11-10,21924,36,609,55,61,M,55,monthly issuance,1993-01-17,1960-08-20,1993-11-07,1993-01-17,45,1090.7444444444445,-17200.0,21739.5,8683.950065430414,14493.0,14.6,38939.5,34272.21333333335,1100.0,60432.4,10171.031845987452,49083.3,1100.0,59332.4,21,24,0.4666666666666667,0.5333333333333333,2,0,0,0,south Moravia,157042,8743,1.88,2.43,111,3659,3894
6077,5270,no,1993-11-22,79608,24,3317,44,51,M,44,monthly issuance,1993-01-13,1970-04-28,1993-11-16,1993-01-13,53,1957.4679245283012,-51700.0,67124.0,26077.862408931138,-3100.0,14.6,118824.0,69954.57169811318,800.0,125825.7,24870.23292768019,103745.7,800.0,125025.7,22,31,0.41509433962264153,0.5849056603773585,1,0,0,0,east Bohemia,105606,8254,2.79,3.76,97,2166,2325
6228,6034,yes,1993-12-01,464520,60,7742,77,80,F,6,weekly issuance,1993-03-19,1940-12-02,1993-11-30,1993-03-19,68,1284.8573529411765,-41000.0,47757.0,18515.433732174413,290.7,30.0,88757.0,51760.01617647063,200.0,125943.1,27848.686707573845,101797.3,200.0,125743.1,31,37,0.45588235294117646,0.5441176470588235,1,0,0,0,central Bohemia,77963,8546,2.95,4.02,126,2640,3120
5523,2705,no,1993-12-08,93888,36,2608,63,71,F,63,issuance after transaction,1993-07-05,1950-10-20,1993-12-02,1993-07-05,19,1827.1789473684212,-15500.0,15649.0,9929.780911121125,-12000.0,48.0,31149.0,37510.49473684211,600.0,52378.2,14598.865783434976,34716.3,600.0,51778.2,12,7,0.631578947368421,0.3684210526315789,1,0,0,0,south Moravia,86513,8288,3.79,4.52,110,1562,1460
6356,6701,no,1993-12-08,95400,36,2650,5,50,M,49,weekly issuance,1993-03-15,1971-02-10,1993-11-30,1993-03-15,47,588.6595744680851,-33500.0,35760.0,16204.181715138946,-30.0,23.6,69260.0,41562.32340425532,200.0,92354.8,23576.743344256894,27667.0,200.0,92154.8,22,25,0.46808510638297873,0.5319148936170213,1,0,0,0,east Bohemia,75685,8208,1.89,2.26,155,1660,2123
6456,7123,no,1993-12-09,47016,12,3918,46,63,F,64,issuance after transaction,1993-04-14,1957-12-31,1993-12-05,1993-04-14,42,1399.366666666666,-51800.0,47705.0,18411.845320199693,-14581.0,32.8,99505.0,60382.085714285706,200.0,112901.6,23888.321559448163,58773.2,200.0,112701.6,22,20,0.5238095238095238,0.47619047619047616,1,0,0,0,south Moravia,197099,9624,1.60,2.31,145,4484,4265
7104,10320,no,1993-12-13,259740,60,4329,68,42,M,68,monthly issuance,1993-07-11,1979-03-16,1993-12-10,1993-07-11,17,3954.0882352941176,-21500.0,38960.0,17813.828361026244,-12414.0,75.3,60460.0,45198.15294117648,800.0,79633.5,19487.23966632132,67219.5,800.0,78833.5,10,7,0.5882352941176471,0.4117647058823529,1,0,0,0,north Moravia,228848,9893,4.09,4.72,96,5623,5887
6820,9034,no,1993-12-16,38148,12,3179,1,56,F,1,monthly issuance,1993-06-28,1965-01-22,1993-12-14,1993-06-28,29,1645.7206896551727,-20600.0,32706.0,12844.874772157718,-9115.0,9.9,53306.0,37462.093103448286,900.0,62324.6,13293.431805243708,47725.8,900.0,61424.6,18,11,0.6206896551724138,0.3793103448275862,1,0,0,0,Prague,1204953,12541,0.29,0.43,167,85677,99107
6876,9236,no,1993-12-21,86616,12,7218,11,60,M,11,monthly issuance,1993-08-18,1961-09-28,1993-12-16,1993-08-18,15,2483.5466666666666,-11100.0,17859.0,7832.35875991998,-11100.0,29.8,28959.0,25714.046666666665,800.0,48353.1,11715.975172745155,37253.1,800.0,47553.1,12,3,0.8,0.2,1,0,0,0,central Bohemia,75637,9622,0.45,0.59,154,3475,3529
7097,10266,yes,1993-12-23,75624,24,3151,54,62,M,54,monthly issuance,1993-06-10,1958-12-07,1993-12-17,1993-06-10,23,1824.1304347826087,-31100.0,49887.0,21502.123350506463,-13500.0,50.5,80987.0,50009.90869565218,400.0,89754.8,20688.41804888367,41954.8,400.0,89354.8,15,8,0.6521739130434783,0.34782608695652173,1,0,0,0,south Moravia,387570,9897,1.60,1.96,140,18721,18696
6499,7401,no,1994-01-05,80952,24,3373,1,76,M,1,monthly issuance,1993-02-26,1945-02-04,1993-12-31,1993-02-26,54,532.3944444444447,-22400.0,30354.0,11890.461827732386,150.2,13.5,52754.0,33312.53888888891,1100.0,67529.6,12270.895742079612,28763.7,1100.0,66429.6,22,32,0.4074074074074074,0.5925925925925926,2,0,0,0,Prague,1204953,12541,0.29,0.43,167,85677,99107
4959,2,no,1994-01-05,80952,24,3373,1,76,M,1,monthly issuance,1993-02-26,1945-02-04,1993-12-31,1993-02-26,54,515.5685185185185,-22400.0,30354.0,11895.998464916345,138.3,13.5,52754.0,32590.62407407406,1100.0,67529.6,12061.705681876094,27855.2,1100.0,66429.6,22,32,0.4074074074074074,0.5925925925925926,2,0,0,0,Prague,1204953,12541,0.29,0.43,167,85677,99107
5479,2486,no,1994-01-10,24516,12,2043,1,63,M,1,monthly issuance,1993-02-27,1958-10-07,1993-12-31,1993-02-27,73,1077.4821917808217,-59200.0,49536.0,24002.833071439152,290.4,12.5,108736.0,55582.22602739725,200.0,125254.2,29534.218113303323,78670.8,200.0,125054.2,31,42,0.4246575342465753,0.5753424657534246,1,0,0,0,Prague,1204953,12541,0.29,0.43,167,85677,99107
5170,1071,no,1994-01-20,253200,60,4220,52,71,F,68,weekly issuance,1993-05-10,1950-03-13,1994-01-19,1993-05-10,41,1979.285365853658,-42600.0,46304.0,18722.099418689144,12950.0,30.0,88904.0,47302.546341463436,800.0,104417.9,26552.739504598183,81150.6,800.0,103617.9,21,20,0.5121951219512195,0.4878048780487805,1,0,0,0,north Moravia,228848,9893,4.09,4.72,96,5623,5887
6721,8475,no,1994-01-21,21072,24,878,17,57,F,4,monthly issuance,1993-09-08,1964-08-09,1994-01-06,1993-09-08,15,2057.8066666666664,-5700.0,9738.0,4342.030503687461,-2600.0,48.5,15438.0,21575.68666666666,1100.0,33467.0,9070.837344626276,30867.0,1100.0,32367.0,13,2,0.8666666666666667,0.13333333333333333,1,0,0,0,central Bohemia,149893,9753,4.64,5.05,109,5244,5892
7259,11111,no,1994-01-31,108144,36,3004,59,58,F,1,monthly issuance,1993-05-20,1963-05-12,1994-01-18,1993-05-20,55,398.5709090909086,-60600.0,45740.0,21829.602141423507,-3500.0,14.6,106340.0,54652.89818181817,900.0,123863.4,25585.472260311017,21921.3,900.0,122963.4,23,32,0.41818181818181815,0.5818181818181818,2,0,0,0,Prague,1204953,12541,0.29,0.43,167,85677,99107
5285,1603,no,1994-02-06,78936,12,6578,31,64,F,1,monthly issuance,1993-05-09,1957-01-22,1994-02-05,1993-05-09,51,482.37254901960796,-6300.0,11416.0,4574.925270649935,-1187.0,14.6,17716.0,25900.319607843132,900.0,40560.3,7684.869705311071,24601.0,900.0,39660.3,24,27,0.47058823529411764,0.5294117647058824,1,0,0,0,Prague,1204953,12541,0.29,0.43,167,85677,99107
5189,1166,no,1994-02-07,149040,48,3105,11,52,F,11,monthly issuance,1993-04-21,1968-12-20,1994-01-31,1993-04-21,54,352.4740740740742,-15900.0,27946.0,10176.811224139317,126.7,14.6,43846.0,36845.58888888889,200.0,62441.6,12658.246764300018,19048.1,200.0,62241.6,20,34,0.37037037037037035,0.6296296296296297,1,0,0,0,central Bohemia,75637,9622,0.45,0.59,154,3475,3529
6650,8073,yes,1994-02-17,49320,12,4110,24,76,F,24,issuance after transaction,1993-09-03,1945-10-03,1994-02-14,1993-09-03,49,319.869387755102,-62700.0,45628.0,17673.643380683712,-11567.0,100.0,108328.0,46576.27755102041,900.0,126833.0,24439.877180919786,15673.6,900.0,125933.0,17,32,0.3469387755102041,0.6530612244897959,1,0,0,0,west Bohemia,122603,8991,1.39,2.01,128,5198,5273
7226,10940,no,1994-02-23,197748,36,5493,13,51,F,50,monthly issuance,1993-09-13,1970-05-05,1994-02-16,1993-09-13,16,2705.9125000000004,-25100.0,36216.0,19254.869815776477,-5700.0,68.3,61316.0,44735.43125,300.0,74413.6,19635.357674451083,43294.5,300.0,74113.6,11,5,0.6875,0.3125,2,0,0,0,east Bohemia,102609,8187,4.83,5.45,94,2123,2134
6087,5313,no,1994-02-27,300660,60,5011,40,71,M,40,monthly issuance,1993-04-29,1950-01-07,1994-02-23,1993-04-29,66,513.9242424242422,-48900.0,44519.0,17285.908796465144,-9800.0,14.6,93419.0,45854.89090909087,800.0,135175.2,30520.960807281426,33918.9,800.0,134375.2,24,42,0.36363636363636365,0.6363636363636364,1,0,0,0,north Bohemia,128118,9317,6.49,7.07,97,6949,6872
7262,11135,no,1994-03-01,182628,36,5073,75,62,M,75,monthly issuance,1993-10-10,1959-05-23,1994-02-28,1993-10-10,13,3512.376923076923,-12600.0,23204.0,11034.077886193742,183.5,67.1,35804.0,33229.1076923077,500.0,52246.0,14579.421766566596,45660.9,500.0,51746.0,10,3,0.7692307692307693,0.23076923076923078,1,0,0,0,north Moravia,138032,8819,5.38,5.66,99,4063,4505
5519,2694,no,1994-03-08,91632,12,7636,52,58,F,7,monthly issuance,1993-03-08,1962-12-28,1994-03-03,1993-03-08,70,472.31142857142873,-18300.0,26378.0,9484.374323408698,-6100.0,14.6,44678.0,40976.942857142836,700.0,64577.8,10641.422753595749,33061.9,700.0,63877.8,27,43,0.38571428571428573,0.6142857142857143,2,0,0,0,central Bohemia,94725,9920,2.26,2.87,130,4289,4846
6577,7753,no,1994-03-11,51696,24,2154,74,53,F,74,monthly issuance,1993-02-08,1968-01-28,1994-03-05,1993-02-08,102,374.53235294117627,-59600.0,46889.0,21241.171900965554,-9500.0,14.6,106489.0,58226.50490196077,600.0,124339.4,26115.030058226144,38202.2,600.0,123739.4,44,58,0.43137254901960786,0.5686274509803921,1,0,1,0,north Moravia,323870,10673,4.75,5.44,100,18782,18347
6509,7445,no,1994-03-15,55368,24,2307,64,81,F,64,monthly issuance,1993-03-18,1939-12-25,1994-03-13,1993-03-18,98,126.67959183673464,-34100.0,48139.0,13447.74775955936,10100.0,14.6,82239.0,46061.31938775505,200.0,113350.7,24131.83891162098,12414.4,200.0,113150.7,47,51,0.47959183673469385,0.5204081632653061,1,0,0,0,south Moravia,197099,9624,1.60,2.31,145,4484,4265
6520,7485,no,1994-03-16,91200,24,3800,39,66,F,39,monthly issuance,1993-07-28,1955-08-26,1994-03-13,1993-07-28,36,908.7555555555557,-22100.0,34198.0,14394.25999025692,22799.0,14.6,56298.0,32558.533333333333,700.0,76736.9,15743.433555304437,32715.3,700.0,76036.9,18,18,0.5,0.5,2,0,0,0,north Bohemia,119895,10446,7.34,9.4,90,4947,4743
6699,8330,no,1994-03-30,7656,24,319,48,59,F,48,monthly issuance,1993-03-28,1962-09-03,1994-03-23,1993-03-28,81,448.80246913580254,-21700.0,31677.0,10984.030000618799,-12800.0,9.2,53377.0,46444.63950617286,600.0,73069.1,12923.560345495733,36353.1,600.0,72469.1,36,45,0.4444444444444444,0.5555555555555556,2,0,0,0,east Bohemia,78955,9060,1.78,2.44,124,1655,1717
6336,6555,no,1994-03-31,212400,36,5900,38,55,F,38,weekly issuance,1993-03-05,1966-10-24,1994-03-30,1993-03-05,71,904.523943661972,-42900.0,48828.0,18249.048697769467,-33500.0,30.0,91728.0,51034.36197183098,300.0,133215.2,27309.501085647138,64221.1,300.0,132915.2,31,40,0.43661971830985913,0.5633802816901409,1,0,0,0,north Bohemia,85852,8965,7.08,8.23,104,2653,2822
7055,10079,no,1994-04-06,167100,60,2785,62,51,F,62,monthly issuance,1993-05-06,1970-01-17,1994-04-01,1993-05-06,79,497.59746835442996,-49200.0,49980.0,21140.798468255125,-12300.0,14.6,99180.0,63707.62658227849,1100.0,143605.7,26493.59158887542,39310.2,1100.0,142505.7,33,46,0.4177215189873418,0.5822784810126582,2,0,0,0,south Moravia,145688,8544,1.29,1.86,109,2719,2906
6103,5385,no,1994-04-07,149340,60,2489,44,58,M,44,weekly issuance,1993-05-21,1963-02-01,1994-03-31,1993-05-21,56,420.3267857142856,-13200.0,22404.0,8513.67877149347,92.4,30.0,35604.0,29069.11607142853,500.0,53214.0,10432.344642413836,23568.3,500.0,52714.0,23,33,0.4107142857142857,0.5892857142857143,1,0,0,0,east Bohemia,105606,8254,2.79,3.76,97,2166,2325
6202,5891,no,1994-04-18,65184,12,5432,3,64,M,54,monthly issuance,1993-01-25,1957-09-29,1994-04-16,1993-01-25,82,829.2134146341464,-39900.0,48891.0,18176.255524503395,-7100.0,14.6,88791.0,47426.549999999974,900.0,102410.3,18172.768250468802,67995.4,900.0,101510.3,30,52,0.36585365853658536,0.6341463414634146,1,0,0,0,south Moravia,387570,9897,1.60,1.96,140,18721,18696
7066,10131,yes,1994-05-02,215388,36,5983,39,61,M,1,monthly issuance,1993-11-27,1959-12-17,1994-04-30,1993-11-27,15,2044.1933333333332,-11400.0,49757.0,14013.082635088169,139.3,18.0,61157.0,32702.726666666666,1000.0,50757.0,10504.310470160513,30662.8,1000.0,49757.0,10,5,0.6666666666666666,0.3333333333333333,1,0,0,0,Prague,1204953,12541,0.29,0.43,167,85677,99107
6696,8321,no,1994-05-09,89040,60,1484,77,51,F,77,monthly issuance,1993-04-12,1970-01-25,1994-05-07,1993-04-12,87,336.8505747126437,-11400.0,15843.0,5561.914755559467,-800.0,14.6,27243.0,30045.399999999998,800.0,46550.2,8832.079278613892,29305.8,800.0,45750.2,44,43,0.5057471264367817,0.4942528735632184,2,0,0,0,north Moravia,148545,8909,4.01,5.56,113,3460,3590
6072,5256,no,1994-05-10,193968,36,5388,72,48,M,72,issuance after transaction,1993-10-25,1972-12-03,1994-05-04,1993-10-25,29,2785.5172413793107,-54200.0,41783.0,23715.50147849456,19181.0,52.4,95983.0,63579.21724137932,800.0,120567.3,30034.313435862332,80780.0,800.0,119767.3,20,9,0.6896551724137931,0.3103448275862069,1,0,0,0,north Moravia,226122,8994,3.80,4.79,110,9672,9208
5130,813,no,1994-05-11,24312,12,2026,16,66,F,16,monthly issuance,1993-02-10,1955-11-19,1994-05-06,1993-02-10,78,364.894871794872,-24322.0,18231.0,7820.337301472649,-6600.0,14.6,42553.0,29380.83974358974,1100.0,48277.9,7695.862800862465,28461.9,1100.0,47177.9,37,41,0.47435897435897434,0.5256410256410257,1,0,0,0,south Bohemia,93931,8427,1.12,1.54,107,1874,1913
5568,2933,no,1994-05-17,272520,60,4542,10,82,M,10,monthly issuance,1993-06-18,1939-09-02,1994-05-14,1993-06-18,84,357.26428571428596,-56700.0,42400.0,16988.15057378243,1300.0,13.3,99100.0,44602.641666666634,1100.0,121891.4,24196.754530887032,30009.9,1100.0,120791.4,34,50,0.40476190476190477,0.5952380952380952,2,0,0,0,central Bohemia,92084,10124,0.56,0.54,141,3810,4316
6678,8173,no,1994-05-20,80340,12,6695,1,45,F,11,monthly issuance,1993-07-05,1976-02-06,1994-05-05,1993-07-05,52,1718.128846153846,-39200.0,61260.0,22922.615188792603,40840.0,14.6,100460.0,61531.59038461539,1100.0,122523.5,26678.258714234544,89342.6,1100.0,121423.5,22,30,0.4230769230769231,0.5769230769230769,2,0,0,0,central Bohemia,75637,9622,0.45,0.59,154,3475,3529
6998,9833,no,1994-05-21,97632,12,8136,21,53,F,20,monthly issuance,1993-07-24,1968-09-07,1994-05-20,1993-07-24,65,635.8492307692305,-54700.0,73224.0,24327.111847324286,-16800.0,14.6,127924.0,53379.127692307724,1100.0,119900.1,22871.826586869844,41330.1,1100.0,118800.1,20,45,0.3076923076923077,0.6923076923076923,1,0,0,0,south Bohemia,70646,8547,2.65,3.64,120,1563,1542
6580,7769,no,1994-05-22,196080,48,4085,23,63,M,23,monthly issuance,1993-10-03,1958-05-27,1994-05-14,1993-10-03,47,1848.029787234043,-35700.0,46888.0,16576.270274321494,-4900.0,14.6,82588.0,49143.96595744681,900.0,97457.4,23182.39661204049,86857.4,900.0,96557.4,20,27,0.425531914893617,0.574468085106383,1,0,0,0,west Bohemia,87419,8624,1.79,2.66,102,2879,3198
6316,6473,yes,1994-05-26,76908,12,6409,4,75,F,12,monthly issuance,1993-01-26,1946-01-19,1994-05-21,1993-01-26,102,145.96568627450958,-52200.0,47434.0,19010.291202198227,7000.0,14.6,99634.0,52890.40392156865,1100.0,126002.8,23250.780434566495,14888.6,1100.0,124902.8,42,60,0.4117647058823529,0.5882352941176471,1,0,0,0,central Bohemia,107870,8754,3.83,4.31,137,3804,3868
6512,7454,no,1994-05-26,63312,48,1319,31,65,F,4,monthly issuance,1993-04-19,1956-05-07,1994-05-14,1993-04-19,82,348.2121951219513,-4600.0,10500.0,2812.955489695835,900.0,14.6,15100.0,22551.77926829271,500.0,31462.9,5522.432869014776,28553.5,500.0,30962.9,35,47,0.4268292682926829,0.573170731707317,1,0,0,0,central Bohemia,149893,9753,4.64,5.05,109,5244,5892
6407,6930,no,1994-05-26,25944,24,1081,41,61,F,41,monthly issuance,1993-09-08,1960-05-21,1994-05-12,1993-09-08,37,1875.6486486486483,-29900.0,36289.5,15950.623795423275,24193.0,14.6,66189.5,56927.45405405403,600.0,80155.2,17426.036797826957,69398.9,600.0,79555.2,19,18,0.5135135135135135,0.4864864864864865,1,0,0,0,north Bohemia,118650,9832,3.32,4.48,114,6445,5471
5002,173,no,1994-05-31,104808,12,8734,66,81,M,66,monthly issuance,1993-11-26,1939-11-30,1994-05-25,1993-11-26,30,933.8466666666665,-16400.0,25970.0,10052.730130005115,-3900.0,14.6,42370.0,38709.829999999994,500.0,57865.3,11517.175248212317,28015.4,500.0,57365.3,12,18,0.4,0.6,2,0,0,0,south Moravia,125832,8512,3.51,4.12,102,2247,2103
6647,8051,no,1994-06-01,208320,48,4340,31,53,F,1,weekly issuance,1993-02-07,1968-04-14,1994-05-31,1993-02-07,85,519.8023529411764,-29700.0,39060.0,14500.177189565788,-30.0,30.0,68760.0,43944.88941176475,200.0,82981.9,16039.860835602089,44183.1,200.0,82781.9,33,52,0.38823529411764707,0.611764705882353,2,0,0,0,Prague,1204953,12541,0.29,0.43,167,85677,99107
7137,10439,no,1994-06-03,151560,24,6315,66,68,M,66,monthly issuance,1993-11-21,1953-05-05,1994-06-01,1993-11-21,28,761.5392857142857,-37200.0,56835.0,24009.473320743848,-15993.0,14.6,94035.0,53976.29285714283,300.0,97912.7,22844.00616457968,21323.2,300.0,97612.7,13,15,0.4642857142857143,0.5357142857142857,1,0,0,0,south Moravia,125832,8512,3.51,4.12,102,2247,2103
5918,4576,no,1994-06-04,300204,36,8339,57,57,M,27,monthly issuance,1993-06-05,1964-03-13,1994-05-31,1993-06-05,71,477.9267605633803,-18300.0,28365.0,9961.408186424214,135.7,14.6,46665.0,34084.4605633803,300.0,57676.7,11447.547499735838,33947.4,300.0,57376.7,27,44,0.38028169014084506,0.6197183098591549,1,0,0,0,west Bohemia,67298,8561,0.65,1.29,110,1029,1127
6903,9337,no,1994-06-04,52128,24,2172,11,62,F,30,monthly issuance,1993-09-13,1959-07-17,1994-05-31,1993-09-13,71,828.8014084507042,-27300.0,44473.0,11893.404419130713,-14.6,0.1,71773.0,33459.68028169013,144.2,59944.2,20087.36502977943,58844.8,144.2,59800.0,39,32,0.5492957746478874,0.4507042253521127,1,0,0,0,west Bohemia,94812,9650,3.38,3.67,100,2985,2804
6642,8027,no,1994-06-05,77640,12,6470,27,54,M,44,weekly issuance,1993-07-07,1967-07-10,1994-06-02,1993-07-07,60,513.7649999999996,-35000.0,58227.0,20304.337007709768,-6000.0,30.0,93227.0,55570.30499999995,700.0,117489.5,23174.95183686821,30825.8,700.0,116789.5,22,38,0.36666666666666664,0.6333333333333333,1,0,0,0,east Bohemia,105606,8254,2.79,3.76,97,2166,2325
6210,5927,yes,1994-06-06,87216,48,1817,15,57,M,15,monthly issuance,1993-11-26,1964-05-13,1994-05-31,1993-11-26,33,657.3060606060608,-12600.0,16356.0,6304.685894086011,126.8,14.6,28956.0,28362.24848484848,200.0,41410.0,8425.332672368242,21705.9,200.0,41210.0,21,12,0.6363636363636364,0.36363636363636365,1,0,0,0,south Bohemia,58796,9045,3.13,3.6,124,1845,1879
6279,6273,no,1994-06-07,87360,24,3640,38,59,M,38,monthly issuance,1993-07-21,1962-07-10,1994-05-31,1993-07-21,30,968.6000000000003,-22800.0,49341.0,14770.064504820271,-14.6,14.6,72141.0,36783.95,200.0,69174.6,13552.449489852383,29057.9,200.0,68974.6,16,14,0.5333333333333333,0.4666666666666667,1,0,0,0,north Bohemia,85852,8965,7.08,8.23,104,2653,2822
7249,11065,no,1994-06-12,69360,48,1445,46,80,M,11,monthly issuance,1993-03-19,1941-07-28,1994-06-10,1993-03-19,78,495.7064102564105,-13700.0,17782.0,7155.811498597825,-13700.0,14.6,31482.0,33857.10641025642,1100.0,52365.0,9598.252851868401,38665.0,1100.0,51265.0,31,47,0.3974358974358974,0.6025641025641025,1,0,0,0,central Bohemia,75637,9622,0.45,0.59,154,3475,3529
6736,8558,no,1994-06-14,288360,60,4806,1,85,M,1,issuance after transaction,1994-02-27,1935-12-15,1994-05-31,1994-02-27,10,4345.04,-15200.0,27116.0,13347.710764788262,137.1,8.7,42316.0,33211.759999999995,800.0,58495.8,16686.231188764257,43450.3,800.0,57695.8,8,2,0.8,0.2,1,0,0,0,Prague,1204953,12541,0.29,0.43,167,85677,99107
6112,5442,yes,1994-06-17,174744,24,7281,5,42,F,34,monthly issuance,1993-03-22,1978-11-21,1994-06-15,1993-03-22,118,58.73644067796613,-37500.0,46739.0,12614.128150397219,8300.0,0.2,84239.0,26252.81440677967,-1369.2,96659.4,23430.521918399387,6930.8,186.4,98028.59999999999,38,80,0.3220338983050847,0.6779661016949152,1,0,0,0,north Bohemia,125236,9675,6.43,7.68,100,5323,5190
5319,1811,no,1994-06-23,239460,60,3991,68,79,F,40,monthly issuance,1993-09-22,1942-09-13,1994-06-19,1993-09-22,46,787.8369565217396,-23200.0,35918.0,14366.69601417511,-7400.0,14.6,59118.0,40061.58043478263,300.0,74408.8,16062.53213841481,36240.6,300.0,74108.8,18,28,0.391304347826087,0.6086956521739131,1,0,0,0,north Bohemia,128118,9317,6.49,7.07,97,6949,6872
